,combination.compound.dt50.sediment,combination.compound.dt50.soil,combination.compound.dt50.surfaceWater,combination.compound.dt50.system,combination.compound.freundlich,combination.compound.henry,combination.compound.koc,combination.compound.molarMass,combination.compound.name,combination.compound.plant_uptake,combination.compound.reference_temperature,combination.compound.vapor_pressure,combination.compound.water_solubility,combination.gap.arguments.apply_every_n_years,combination.gap.arguments.bbch,combination.gap.arguments.interval,combination.gap.arguments.modelCrop,combination.gap.arguments.name,combination.gap.arguments.number_of_applications,combination.gap.arguments.rate,combination.gap.arguments.season,combination.gap.type,combination.scenarios.0,0.compound_pec,0.compound_name
45,6.0,28.5,6.0,6.0,0.9979,3.15e-09,53.62,300.0,Compound 7844606194584894085,0.0,20.0,5.1e-09,485.5017,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,0.0988223618404601,Compound 7844606194584894085
46,6.0,15.91,6.0,6.0,0.92564,3.64e-06,10.27,300.0,Compound 5176452394303558443,0.0,20.0,8.7e-05,7169.2766,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.7776997720755292,Compound 5176452394303558443
47,6.0,1.36,6.0,6.0,0.9501,1.52e-06,46.58,300.0,Compound -3664861063662489006,0.0,20.0,7.6e-05,15064.1376,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,2.2868731981432987e-11,Compound -3664861063662489006
48,6.0,5.59,6.0,6.0,0.94616,0.000445,61.63,300.0,Compound -6197935244792853888,0.0,20.0,0.00032,217.4486,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,2.3737525536789345e-05,Compound -6197935244792853888
49,6.0,11.63,6.0,6.0,0.95185,6.55e-13,4.87,300.0,Compound -2052092510941868685,0.0,20.0,2.1e-11,9530.777,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,P,0.3469158330536671,Compound -2052092510941868685
50,6.0,272.64,6.0,6.0,0.98114,4.14e-06,3608.21,300.0,Compound 5485310369484005132,0.0,20.0,0.00051,37166.2795,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,J,7.211714358956317e-13,Compound 5485310369484005132
51,6.0,3.99,6.0,6.0,0.92968,0.00476,24.35,300.0,Compound 6173650483904627433,0.0,20.0,0.00017,10.8083,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,3.217225546062e-05,Compound 6173650483904627433
52,6.0,4.18,6.0,6.0,0.95809,2.57e-08,28.5,300.0,Compound 5664093549244305600,0.0,20.0,6.7e-07,7797.1353,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,1.044910888009424e-07,Compound 5664093549244305600
53,6.0,136.47,6.0,6.0,0.98319,0.000794,10533.51,300.0,Compound 7773272084191792138,0.0,20.0,0.0023,859.6246,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,3.895712198874347e-15,Compound 7773272084191792138
54,6.0,98.12,6.0,6.0,0.93026,1.16e-09,1806.58,300.0,Compound -5865766182177181384,0.0,20.0,4.9e-08,12723.2552,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,P,6.910855922819482e-11,Compound -5865766182177181384
55,6.0,59.89,6.0,6.0,0.99375,5.56e-05,2337.22,300.0,Compound -7060037617041544678,0.0,20.0,0.00011,609.0929,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,4.1417497626198914e-08,Compound -7060037617041544678
