combination.compound.dt50.sediment,combination.compound.dt50.soil,combination.compound.dt50.surfaceWater,combination.compound.dt50.system,combination.compound.freundlich,combination.compound.henry,combination.compound.koc,combination.compound.molarMass,combination.compound.name,combination.compound.plant_uptake,combination.compound.reference_temperature,combination.compound.vapor_pressure,combination.compound.water_solubility,combination.gap.arguments.apply_every_n_years,combination.gap.arguments.bbch,combination.gap.arguments.interval,combination.gap.arguments.modelCrop,combination.gap.arguments.name,combination.gap.arguments.number_of_applications,combination.gap.arguments.rate,combination.gap.arguments.season,combination.gap.type,combination.scenarios.0,0.compound_pec,0.compound_name
6.0,10.0,6.0,6.0,1.0,0.0351,10000.0,300.0,Compound -2664674558546892873,0.0,20.0,1.2,10000.0,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound -2664674558546892873
6.0,9.0,6.0,6.0,1.0,18800.0,20.0,300.0,Compound 1746473464499132145,0.0,20.0,1200.0,20.0,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound 1746473464499132145
6.0,90.77,6.0,6.0,1.0,518.0,1179677.21,300.0,Compound -980856891764548939,0.0,20.0,2000000.0,1179677.2096,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound -980856891764548939
6.0,90.77,6.0,6.0,1.0,518.0,1179677.21,300.0,Compound -980856891764548939,0.0,20.0,2000000.0,1179677.2096,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound -980856891764548939
6.0,90.77,6.0,6.0,1.0,518.0,1179677.21,300.0,Compound -980856891764548939,0.0,20.0,2000000.0,1179677.2096,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound -980856891764548939
6.0,0.53,6.0,6.0,1.0,195.0,5650.0,300.0,Compound 6928742371358853742,0.0,20.0,3700.0,5650.0,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound 6928742371358853742
6.0,1.95,6.0,6.0,1.0,-188.0,-298973.32,300.0,Compound -5598374800184831759,0.0,20.0,190000.0,-298973.3209,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound -5598374800184831759
6.0,47.3,6.0,6.0,1.0,0.00188,75766.0,300.0,Compound 567583130284854652,0.0,20.0,0.48,75766.0,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound 567583130284854652
6.0,90.77,6.0,6.0,1.0,518.0,1179677.21,300.0,Compound -980856891764548939,0.0,20.0,2000000.0,1179677.2096,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound -980856891764548939
6.0,6.5,6.0,6.0,0.81,2.27e-05,188969.81,300.0,Compound 6222886225666708033,0.0,20.0,0.014,188969.8106,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound 6222886225666708033
